mode,rerank,faithfulness,answer_relevance,recall5,p95_latency_ms,n
vector,False,0.9657142857142856,0.9051096886250573,0.4,5106.380775000705,10
vector,True,0.75,0.8741700356286157,0.6,18105.06097000042,10
graph,False,nan,0.9356617740157531,0.5,4220.749395000621,10
graph,True,nan,nan,0.6,13911.919269999724,10
hybrid,False,nan,nan,0.5,4313.7872049999705,10
hybrid,True,nan,nan,0.6,12960.791699999209,10
