config,NDCG@5,Recall@5,p95 latency (ms)
BM25 only,0.4163228684869845,0.46499999999999997,103.06483503663912
Dense only,0.5630428724188206,0.648888888888889,97.38586001039945
Default hybrid,0.5341771784871768,0.5933333333333334,92.02554496005177
AutoML winner,0.5646231643969631,0.6322222222222222,112.0377749990439
